Unnamed: 0,prompt,response
3468,তাহলে তারা কি অন্য নির্বাচন করতে চলেছে?,না।এতে খুব বেশি অর্থ ব্যয় হবে।
3469,না।এতে খুব বেশি অর্থ ব্যয় হবে।,তাহলে কি সৎ নির্বাচন করার চেয়ে অর্থ সাশ্রয় করা ভাল?
3470,তাহলে কি সৎ নির্বাচন করার চেয়ে অর্থ সাশ্রয় করা ভাল?,"ঠিক আছে, ডেমোক্র্যাটিক পার্টি বলেছে এটি একটি সৎ নির্বাচন ছিল।"
3471,"ঠিক আছে, ডেমোক্র্যাটিক পার্টি বলেছে এটি একটি সৎ নির্বাচন ছিল।",অবশ্যই তারা বলে যে - তাদের মানুষ জিতেছে!
3472,আমি দেখতে পাচ্ছি যে প্রাক্তন রাষ্ট্রপতি বুশ একটি সম্মেলনে রয়েছেন।,হ্যাঁ.তিনি রাষ্ট্রপতি হিসাবে তাঁর আট বছর সম্পর্কে রসিকতা বলছেন।
3473,হ্যাঁ.তিনি রাষ্ট্রপতি হিসাবে তাঁর আট বছর সম্পর্কে রসিকতা বলছেন।,"হ্যাঁ, এই আট বছর সবার জন্য অনেক মজা ছিল।"
3474,"হ্যাঁ, এই আট বছর সবার জন্য অনেক মজা ছিল।","বিদেশে মাত্র ৪,০০০ আমেরিকান সেনা নিহত হয়েছিল।"
3475,"বিদেশে মাত্র ৪,০০০ আমেরিকান সেনা নিহত হয়েছিল।","৪০,০০০ আহত সৈন্যদের উল্লেখ না করা।"
3476,"৪০,০০০ আহত সৈন্যদের উল্লেখ না করা।",তবে বুশ তাদের মধ্যে কয়েকজন একবার হাসপাতালে গিয়েছিলেন।
3477,তবে বুশ তাদের মধ্যে কয়েকজন একবার হাসপাতালে গিয়েছিলেন।,এটি দুর্দান্ত যে তিনি একটি দর্শন করার সময়টি পেয়েছিলেন।
3478,এটি দুর্দান্ত যে তিনি একটি দর্শন করার সময়টি পেয়েছিলেন।,তিনি তাদের সাথে কথা বলেছেন এবং তাদের আরও ভাল বোধ করেছেন।
3479,তিনি তাদের সাথে কথা বলেছেন এবং তাদের আরও ভাল বোধ করেছেন।,তিনি কি প্রতিটি পরিবারের সাথে কথা বলেছেন যে একজন সৈনিককে হারিয়েছে?
3480,তিনি কি প্রতিটি পরিবারের সাথে কথা বলেছেন যে একজন সৈনিককে হারিয়েছে?,"না, এটি করার মতো সময় তাঁর ছিল না।"
3481,"না, এটি করার মতো সময় তাঁর ছিল না।","ঠিক আছে, সে এখন প্রচুর সময় পেয়েছে!"
3482,"ঠিক আছে, সে এখন প্রচুর সময় পেয়েছে!","না, রাষ্ট্রপতি হওয়া কতটা কঠিন ছিল সে সম্পর্কে একটি বই লিখতে তিনি খুব ব্যস্ত।"
3483,আপনি কি আপনার অফিসিয়াল নমুনা ব্যালট পেয়েছেন?,"হ্যাঁ, ভোটার নির্দেশাবলী সহ।"
3484,"হ্যাঁ, ভোটার নির্দেশাবলী সহ।",আপনি কিভাবে ভোট দিতে যাচ্ছেন?
3485,আপনি কিভাবে ভোট দিতে যাচ্ছেন?,মেল দ্বারা আগের মতো একই।আমার খরচ হয় আমার 42 শতাংশ স্ট্যাম্প।
3486,মেল দ্বারা আগের মতো একই।আমার খরচ হয় আমার 42 শতাংশ স্ট্যাম্প।,"আমি বলতে চাইছি, আপনি কি নতুন করের পক্ষে বা বিপক্ষে ভোট দিতে যাচ্ছেন?"
3487,"আমি বলতে চাইছি, আপনি কি নতুন করের পক্ষে বা বিপক্ষে ভোট দিতে যাচ্ছেন?",অবশ্যই তাদের সবার বিরুদ্ধে।
3488,অবশ্যই তাদের সবার বিরুদ্ধে।,"তবে হাইওয়ে, স্কুল এবং কারাগারের জন্য আমাদের অর্থ প্রদানের জন্য নতুন করের প্রয়োজন।"
3489,"তবে হাইওয়ে, স্কুল এবং কারাগারের জন্য আমাদের অর্থ প্রদানের জন্য নতুন করের প্রয়োজন।",আমরা ইতিমধ্যে সেই সমস্ত স্টাফের জন্য অর্থ প্রদানের জন্য নতুন করের পক্ষে ভোট দিয়েছি!
3490,আমরা ইতিমধ্যে সেই সমস্ত স্টাফের জন্য অর্থ প্রদানের জন্য নতুন করের পক্ষে ভোট দিয়েছি!,সেটা সত্য.
3491,সেটা সত্য.সেই টাকা কোথায় গেল?,আমাদের বিধায়করা এটি সারা বিশ্ব জুড়ে প্রথম শ্রেণির ভ্রমণে ব্যয় করেছেন।
3492,আমাদের বিধায়করা এটি সারা বিশ্ব জুড়ে প্রথম শ্রেণির ভ্রমণে ব্যয় করেছেন।,তারা আমাদের অর্থের সাথে ভাল সময় কাটাচ্ছে।
3493,তারা আমাদের অর্থের সাথে ভাল সময় কাটাচ্ছে।,তাহলে আমরা কখন তাদের আরও দেওয়া বন্ধ করব?
3494,আপনি কীভাবে ভোট দিতে যাচ্ছেন তা সিদ্ধান্ত নিয়েছেন?,"আপনি কি 1, 2 এবং 3 ব্যবস্থায় বোঝাতে চাইছেন?"
3495,"আপনি কি 1, 2 এবং 3 ব্যবস্থায় বোঝাতে চাইছেন?","হ্যাঁ.যেগুলি আমাদের স্কুল, রাস্তা এবং হাসপাতালের উন্নতি করবে।"
3496,"হ্যাঁ.যেগুলি আমাদের স্কুল, রাস্তা এবং হাসপাতালের উন্নতি করবে।",আপনি আমাদের কর বাড়িয়ে তুলবে এমন ব্যবস্থাগুলি বোঝায়।
3497,আপনি আমাদের কর বাড়িয়ে তুলবে এমন ব্যবস্থাগুলি বোঝায়।,তবে টিভি বিজ্ঞাপনগুলি বলে যে আমাদের কর বাড়বে না।
3498,তবে টিভি বিজ্ঞাপনগুলি বলে যে আমাদের কর বাড়বে না।,আপনি কি টিভি বিজ্ঞাপন বিশ্বাস করেন?
3499,আপনি কি টিভি বিজ্ঞাপন বিশ্বাস করেন?,আমি যেটি ফায়ারম্যান আমাদের জানান কেন আমাদের হ্যাঁ ভোট দেওয়া উচিত তা আমি পছন্দ করি।
3500,আমি যেটি ফায়ারম্যান আমাদের জানান কেন আমাদের হ্যাঁ ভোট দেওয়া উচিত তা আমি পছন্দ করি।,"তাকে বিশ্বাস করবেন না!টিভি বিজ্ঞাপনগুলি আপনাকে যা বলুক না কেন, বিপরীতটি সত্য।"
3501,"তাকে বিশ্বাস করবেন না!টিভি বিজ্ঞাপনগুলি আপনাকে যা বলুক না কেন, বিপরীতটি সত্য।","তবে পরিমাপ 1 এর শিরোনাম হ'ল ""বিনা ব্যয়ে আরও ভাল স্কুল""।"
3502,"তবে পরিমাপ 1 এর শিরোনাম হ'ল ""বিনা ব্যয়ে আরও ভাল স্কুল""।","শিরোনামটি ""বিশাল ব্যয়ে ভাল স্কুল"" হওয়া উচিত।"
3503,"শিরোনামটি হওয়া উচিত ""বিশাল ব্যয়ে আরও ভাল স্কুল""।",আমি বিশ্বাস করতে পারি না যে তারা আমাদের সাথে মিথ্যা বলবে।
3504,আমি বিশ্বাস করতে পারি না যে তারা আমাদের সাথে মিথ্যা বলবে।,অবশ্যই তারা মিথ্যা - এটাই রাজনীতিবিদরা!
3505,আমার এক্তা পাকস্থলী আছে.,এটা কি আপনি খেয়েছেন?
3506,এটা কি আপনি খেয়েছেন?,হতে পারে. আমি নিশ্চিত নই.
3507,হতে পারে. আমি নিশ্চিত নই.,নাস্তার জন্য তুমি কি করেছো?
3508,নাস্তার জন্য তুমি কি করেছো?,"স্বাভাবিক, দুধ এবং একটি কলা সহ সিরিয়াল।"
3509,"স্বাভাবিক, দুধ এবং একটি কলা সহ সিরিয়াল।",হয়ত দুধ খারাপ ছিল।
3510,হয়ত দুধ খারাপ ছিল।,এটা খারাপ গন্ধ পায় নি।
3511,এটা খারাপ গন্ধ পায় নি।,কলা খারাপ ছিল।
3512,কলা খারাপ ছিল।,"না, কলা সুস্বাদু ছিল।"
3513,"না, কলা সুস্বাদু ছিল।",হতে পারে আপনার কেবল বাথরুমে যেতে হবে।
3514,হতে পারে আপনার কেবল বাথরুমে যেতে হবে।,"না, এটি সমস্যা নয়।"
3515,"না, এটি সমস্যা নয়।",সম্ভবত এটি কিছুক্ষণের মধ্যে চলে যাবে।
3516,এই দাগ কি?,আমি জানি না।
3517,আমি জানি না।,এটি রক্তের মতো দেখাচ্ছে।
3518,এটি রক্তের মতো দেখাচ্ছে।,আমার মনে হয় আমার নাক রক্তক্ষরণ হচ্ছে।
3519,আমার মনে হয় আমার নাক রক্তক্ষরণ হচ্ছে।,আপনার সাথে সাথে আপনার শার্টটি ভেজানো উচিত।
3520,আপনার সাথে সাথে আপনার শার্টটি ভেজানো উচিত।,কেন?
3521,কেন?,কারণ এটি শার্ট থেকে রক্ত বের করে।
3522,কারণ এটি শার্ট থেকে রক্ত বের করে।,একটু রক্ত কী?
3523,একটু রক্ত কী?,আপনার সাদা শার্ট নষ্ট হয়ে গেছে।
3524,আপনার সাদা শার্ট নষ্ট হয়ে গেছে।,"সুতরাং, আমি কেবল অন্য একটি কিনব।"
3525,"সুতরাং, আমি কেবল অন্য একটি কিনব।",আপনি বাড়ির চারপাশে এটি পরতে পারেন।
3526,আপনি এটি বাড়ির চারপাশে পরতে পারেন।,পরের বার আমি তাৎক্ষণিকভাবে এটি ভিজিয়ে রাখব।
3527,আমার আঙ্গুলগুলি আঘাত করেছে।,কেন তারা আঘাত করে?
3528,কেন তারা আঘাত করে?,আমি খুব বেশি টাইপ করি।
3529,আমি খুব বেশি টাইপ করি।,আপনার একটু বিরতি নেওয়া উচিত।
3530,আপনার একটু বিরতি নেওয়া উচিত।,অর্থ উপার্জনের জন্য আমার টাইপ করা দরকার।
3531,অর্থ উপার্জনের জন্য আমার টাইপ করা দরকার।,তবে টাইপিং আপনাকে ব্যথা করছে।
3532,তবে টাইপিং আপনাকে ব্যথা করছে।,হয়তো আমার একজন ডাক্তার দেখা উচিত।
3533,হয়তো আমার একজন ডাক্তার দেখা উচিত।,চিকিত্সকরা খুব ব্যয়বহুল।
3534,চিকিত্সকরা খুব ব্যয়বহুল।,তিনি আমাকে কিছুক্ষণ বিশ্রাম নিতে বলতে পারেন।
3535,তিনি আমাকে কিছুক্ষণ বিশ্রাম নিতে বলতে পারেন।,তিনি আপনাকে খোলা কাটাতে চাইতে পারেন।
3536,তিনি আপনাকে খোলা কাটাতে চাইতে পারেন।,সে হতে পারে আমি ঠিক আছি।
3537,সে হতে পারে আমি ঠিক আছি।,তিনি বলতে পারেন আপনার হাড়ের ক্যান্সার রয়েছে।
3538,ডাক্তার কি বলেছিলেন?,সে মনে করে আমার খুব বেশি চাপ আছে।
3539,সে মনে করে আমার খুব বেশি চাপ আছে।,স্ট্রেস আপনার পেটে ব্যথার কারণ?
3540,স্ট্রেস আপনার পেটে ব্যথার কারণ?,স্ট্রেস বিভিন্ন লোকের সাথে বিভিন্ন সমস্যা সৃষ্টি করে।
3541,স্ট্রেস বিভিন্ন লোকের সাথে বিভিন্ন সমস্যা সৃষ্টি করে।,তাহলে সে আপনাকে কী করতে বলেছিল?
3542,তাহলে সে আপনাকে কী করতে বলেছিল?,তিনি বলেছিলেন আমার ইতিবাচক চিন্তা করা দরকার।
3543,তিনি বলেছিলেন আমার ইতিবাচক চিন্তা করা দরকার।,তিনি আপনাকে কোন ওষুধ দেননি?
3544,তিনি আপনাকে কোন ওষুধ দেননি?,আমি ওষুধ ঘৃণা করি।এটি আমাকে আলাদা মনে করে।
3545,আমি ওষুধ ঘৃণা করি।এটি আমাকে আলাদা মনে করে।,তাহলে আপনি কীভাবে ইতিবাচক ভাবেন?
3546,তাহলে আপনি কীভাবে ইতিবাচক ভাবেন?,আমি সুন্দর জিনিস সম্পর্কে চিন্তা।
3547,আমি সুন্দর জিনিস সম্পর্কে চিন্তা।,কিসের মত?
3548,কিসের মত?,"সৈকতে এক দিনের মতো, বালিতে আমার পায়ের আঙ্গুলের সাথে।"
3549,আমি আমার আঙুল কেটে ফেলেছি.,আপনি এটা কিভাবে করেছিলেন?
3550,আপনি এটা কিভাবে করেছিলেন?,এটি একটি কাগজ কাটা।
3551,এটি একটি কাগজ কাটা।,কাগজ বিপজ্জনক হতে পারে।
3552,কাগজ বিপজ্জনক হতে পারে।,এটাও ব্যাথা করে।
3553,এটাও ব্যাথা করে।,কাগজ কাটা অনেক ক্ষতি করতে পারে।
3554,কাগজ কাটা অনেক ক্ষতি করতে পারে।,ব্যান্ড-এইডস কোথায়?
3555,ব্যান্ড-এইডস কোথায়?,আমি মনে করি তারা মেডিসিন ক্যাবিনেটে রয়েছে।
3556,আমি মনে করি তারা মেডিসিন ক্যাবিনেটে রয়েছে।,এটা আমার আঙুলের ডগায়।
3557,এটা আমার আঙুলের ডগায়।,একটি ব্যান্ড-এইড কাজ করতে পারে না।
3558,একটি ব্যান্ড-এইড কাজ করতে পারে না।,কাটা নিরাময় না হওয়া পর্যন্ত আমি অবশ্যই এই আঙুলটি ব্যবহার করব না।
3559,কাটা নিরাময় না হওয়া পর্যন্ত আমি অবশ্যই এই আঙুলটি ব্যবহার করব না।,নিরাময়ে এক বা দুই দিন সময় লাগতে পারে।
3560,আপনি কি গন্ধ?,হ্যাঁ.
3561,হ্যাঁ.,আমি সিগারেটের ধোঁয়া দাঁড়াতে পারি না।
3562,আমি সিগারেটের ধোঁয়া দাঁড়াতে পারি না।,এটা খুব খারাপ গন্ধ।
3563,এটা খুব খারাপ গন্ধ।,একটি সিগারেট পুরো ফুটপাতটি দুর্গন্ধযুক্ত করে।
3564,একটি সিগারেট পুরো ফুটপাতটি দুর্গন্ধযুক্ত করে।,ধূমপায়ীরা মনে করেন তারা এত দুর্দান্ত।
3565,ধূমপায়ীরা মনে করেন তারা এত দুর্দান্ত।,তারা এত দুর্বল।
3566,তারা এত দুর্বল।,একটি সামান্য সিগারেট তাদের নিয়ন্ত্রণ করে।
3567,একটি সামান্য সিগারেট তাদের নিয়ন্ত্রণ করে।,তারা দেখতে খুব বোকা লাগে।
3568,তারা দেখতে খুব বোকা লাগে।,এবং তারপরে তারা তাদের মুখ থেকে ধোঁয়া উড়িয়ে দেয়।
3569,এবং তারপরে তারা তাদের মুখ থেকে ধোঁয়া উড়িয়ে দেয়।,তারা মনে করে এটি দুর্দান্ত।
3570,তারা মনে করে এটি দুর্দান্ত।,সিগারেট দুর্গন্ধ।
3571,তোমার কি ঠান্ডা লেগেছে?,হ্যা আমি করব.
3572,হ্যা আমি করব.,আপনি কিভাবে এটা পেলেন?
3573,আপনি কিভাবে এটা পেলেন?,আমার বোন ঠান্ডা ছিল।তিনি আমাকে এটি দিয়েছেন।
3574,আমার বোন ঠান্ডা ছিল।তিনি আমাকে এটি দিয়েছেন।,আপনি কি আপনার ঠান্ডা জন্য কিছু নিয়েছেন?
3575,আপনি কি আপনার ঠান্ডা জন্য কিছু নিয়েছেন?,"না, আমি কেবল আমার নাককে অনেক উড়িয়ে দিই।"
3576,"না, আমি কেবল আমার নাককে অনেক উড়িয়ে দিই।",তোমার নাক বন্ধ হয়ে গেছে?
3577,তোমার নাক বন্ধ হয়ে গেছে?,হ্যাঁ.আমাকে আমার মুখ দিয়ে শ্বাস নিতে হবে।
3578,হ্যাঁ.আমাকে আমার মুখ দিয়ে শ্বাস নিতে হবে।,আপনি নাক ফোঁটা চেষ্টা করেছেন?
3579,আপনি নাক ফোঁটা চেষ্টা করেছেন?,"না, আমি নাকের ফোঁটা পছন্দ করি না।"
3580,"না, আমি নাকের ফোঁটা পছন্দ করি না।",তারা দুর্দান্ত কাজ।
3581,তারা দুর্দান্ত কাজ।,আমি পাত্তা দিই না।আমি আমার নাকের ফোঁটা রাখতে পছন্দ করি না।
3582,"আপনি কি আমার পিঠে সান্টান লোশন রাখবেন, দয়া করে?",নিশ্চিত।
3583,নিশ্চিত।,ধন্যবাদ.
3584,ধন্যবাদ.,আপনার খুব বেশি দিন রোদে শুয়ে থাকা উচিত নয়।
3585,আপনার খুব বেশি দিন রোদে শুয়ে থাকা উচিত নয়।,আমি একটি ট্যান পেতে চাইআমি এত ফ্যাকাশে দেখতে চাই না।
3586,আমি একটি ট্যান পেতে চাইআমি এত ফ্যাকাশে দেখতে চাই না।,ফ্যাকাশে দেখতে কি ভুল?
3587,ফ্যাকাশে দেখতে কি ভুল?,লোকেরা মনে করে আপনি অসুস্থ হতে পারেন।
3588,লোকেরা মনে করে আপনি অসুস্থ হতে পারেন।,কে মনে করে?
3589,কে মনে করে?,আমি জানি না।
3590,আমি জানি না।,ত্বকের ক্যান্সারের চেয়ে ফ্যাকাশে হওয়া ভাল।
3591,ত্বকের ক্যান্সারের চেয়ে ফ্যাকাশে হওয়া ভাল।,আমি জানি।
3592,আমি জানি।,তাহলে তুমি আমার সাথে তর্ক করছ কেন?খুব দীর্ঘ রোদে শুয়ে থাকবেন না!
3593,আমি ধূমপান ছাড়তে পারি না।,অবশ্যই আপনি করতে পারেন.
3594,অবশ্যই আপনি করতে পারেন.,আমার যথেষ্ট ইচ্ছা শক্তি নেই।
3595,আমার যথেষ্ট ইচ্ছা শক্তি নেই।,অবশ্যই তুমি করবে.
3596,অবশ্যই তুমি করবে.,আমি আশা করি আমি কখনও শুরু করতাম না।
3597,আমি আশা করি আমি কখনও শুরু করতাম না।,প্রতিটি ধূমপায়ী তাই না।
3598,প্রতিটি ধূমপায়ী তাই না।,আমি অনেকবার ছাড়ার চেষ্টা করেছি।
3599,আমি অনেকবার ছাড়ার চেষ্টা করেছি।,অন্য সব আছে।
3600,অন্য সব আছে।,কিছুই কাজ করছে বলে মনে হচ্ছে না।
3601,কিছুই কাজ করছে বলে মনে হচ্ছে না।,"এটি যা লাগে তা হ'ল ক্ষমতা, এবং আপনার কাছে এটি রয়েছে।"
3602,"এটি যা লাগে তা হ'ল ক্ষমতা, এবং আপনার কাছে এটি রয়েছে।",তাহলে আমি কেন ছাড়তে পারি না?
3603,তাহলে আমি কেন ছাড়তে পারি না?,নিজেকে বিশ্বাস করতে হবে.
3604,আমার পিঠ আমাকে হত্যা করছে।,আপনি কি করেছিলেন?
3605,আপনি কি করেছিলেন?,আমি আমার গাড়ি থেকে উঠলাম।
3606,আমি আমার গাড়ি থেকে উঠলাম।,এটাই?
3607,এটাই?,আমি কেবল হাঁচি দিয়ে আমার পিঠে একবার আহত করেছি।
3608,আমি কেবল হাঁচি দিয়ে আমার পিঠে একবার আহত করেছি।,তোমার ডাক্তার দেখানো উচিত.
3609,তোমার ডাক্তার দেখানো উচিত.,আমার ডাক্তার বলেছিলেন আমার অস্ত্রোপচার দরকার।
3610,আমার ডাক্তার বলেছিলেন আমার অস্ত্রোপচার দরকার।,তো?
3611,তো?,"সুতরাং, এটা ভুলে যান।"
3612,"সুতরাং, এটা ভুলে যান।",তোমার কাছে টাকা নেই?
3613,তোমার কাছে টাকা নেই?,আমার কোন বীমা নেই।
3614,আমার কোন বীমা নেই।,সম্ভবত একটি পিছনে ঘষা সাহায্য করবে।
3615,আমার ভাই দিনে তিনটি প্যাক ধূমপান করে।,তিনটি প্যাক কি?
3616,তিনটি প্যাক কি?,সিগারেট অবশ্যই।
3617,সিগারেট অবশ্যই।,সে কীভাবে তা করতে পারে?
3618,সে কীভাবে তা করতে পারে?,"যখন তিনি প্রায় একটি সিগারেট দিয়ে শেষ করেন, তখন তিনি এটি অন্যটি আলোকিত করতে ব্যবহার করেন।"
3619,"যখন তিনি প্রায় একটি সিগারেট দিয়ে শেষ করেন, তখন তিনি এটি অন্যটি আলোকিত করতে ব্যবহার করেন।",তিনি একজন চেইন ধূমপায়ী।
3620,তিনি একজন চেইন ধূমপায়ী।,তিনি 30 বছর ধরে চেইন ধূমপায়ী।
3621,তিনি 30 বছর ধরে চেইন ধূমপায়ী।,এটা অবিশ্বাস্য.সে কি এখনও শ্বাস নিতে পারে?
3622,এটা অবিশ্বাস্য.সে কি এখনও শ্বাস নিতে পারে?,"তিনি পারেন, কিন্তু তার চারপাশের লোকেরা পারে না।"
3623,"তিনি পারেন, কিন্তু তার চারপাশের লোকেরা পারে না।",কীভাবে তিনি এখনও বেঁচে থাকতে পারেন?
3624,কীভাবে তিনি এখনও বেঁচে থাকতে পারেন?,তার ডাক্তার বলেছেন তাঁর হৃদয় এবং ফুসফুসগুলি শক্তিশালী এবং স্বাস্থ্যকর।
3625,তার ডাক্তার বলেছেন তাঁর হৃদয় এবং ফুসফুসগুলি শক্তিশালী এবং স্বাস্থ্যকর।,আমার ধূমপান শুরু করা উচিত।
3626,আমি দাঁত ব্রাশ করা ঘৃণা করি।,এটা যেমন একটি কাজ।
3627,এটা যেমন একটি কাজ।,"ব্রাশ, ব্রাশ।থুতু, থুতু।"
3628,"ব্রাশ, ব্রাশ।থুতু, থুতু।",পুরানো দিনগুলিতে তারা কী করেছিল?
3629,পুরানো দিনগুলিতে তারা কী করেছিল?,তারা তাদের আঙ্গুল দিয়ে ব্রাশ করেছে।
3630,তারা তাদের আঙ্গুল দিয়ে ব্রাশ করেছে।,তারা তাদের আঙ্গুল দিয়ে খেয়েছে!
3631,তারা তাদের আঙ্গুল দিয়ে খেয়েছে!,কেন তারা এটিকে ভাল পুরানো দিন বলে?
3632,কেন তারা এটিকে ভাল পুরানো দিন বলে?,কারণ তাদের ব্রাশ এবং ফ্লস করতে হয়নি।
3633,কারণ তাদের ব্রাশ এবং ফ্লস করতে হয়নি।,কে ফ্লসিং আবিষ্কার করেছে?
3634,কে ফ্লসিং আবিষ্কার করেছে?,"একজন ডেন্টিস্ট, আমি নিশ্চিত।"
3635,"একজন দাঁতের, আমি নিশ্চিত।",আমি ব্রাশ করার চেয়ে বেশি ফ্লসিংকে ঘৃণা করি!
3636,আমি ব্রাশ করার চেয়ে বেশি ফ্লসিংকে ঘৃণা করি!,আমার সমস্ত দাঁত না পড়ে পর্যন্ত আমি অপেক্ষা করতে পারি না।
3637,কিছুক্ষণের জন্য থামি।আমার একটি বিরতি এবং কিছু জল দরকার।,এই ট্রেইল আরোহণ করা শক্ত।
3638,এই ট্রেইল আরোহণ করা শক্ত।,বিশেষত এই জাতীয় গরম দিনে।
3639,বিশেষত এই মত একটি গরম দিন।,আমি বিশ্বাস করতে পারি না আমরা কোনও প্রাণী দেখিনি।
3640,আমি বিশ্বাস করতে পারি না আমরা কোনও প্রাণী দেখিনি।,মঙ্গলভাব ধন্যবাদ!আমি কোনও বন্য প্রাণী দেখতে চাই না।
3641,মঙ্গলভাব ধন্যবাদ!আমি কোনও বন্য প্রাণী দেখতে চাই না।,আমরা এখন পর্যন্ত যা দেখেছি তা হ'ল বেশ কয়েকটি টিকটিকি।
3642,আমরা এখন পর্যন্ত যা দেখেছি তা হ'ল বেশ কয়েকটি টিকটিকি।,"আমরা ওজন হ্রাস করতে হাইকিং করছি, ছাগল এবং ভালুক দেখতে নয়।"
3643,"আমরা ওজন হ্রাস করতে হাইকিং করছি, ছাগল এবং ভালুক দেখতে নয়।",আমি বাজি ধরছি আমি ইতিমধ্যে কয়েক পাউন্ড হারিয়েছি।
3644,আমি বাজি ধরছি আমি ইতিমধ্যে কয়েক পাউন্ড হারিয়েছি।,আপনি যা হারিয়েছেন তা হ'ল কিছু ঘাম।
3645,আপনি যা হারিয়েছেন তা হ'ল কিছু ঘাম।,আমি এমনকি এক পাউন্ড চর্বি হারিয়েছি না?
3646,আমি এমনকি এক পাউন্ড চর্বি হারিয়েছি না?,আপনি যদি চর্বি হারাতে চান তবে আপনাকে প্রতিদিন এই ভাড়াটি করতে হবে।
3647,আপনি যদি চর্বি হারাতে চান তবে আপনাকে প্রতিদিন এই ভাড়াটি করতে হবে।,"ঠিক আছে, তবে আসুন শহরে বাড়ানো যাক।কমপক্ষে বিড়াল এবং কুকুর দেখতে আছে।"
3648,"ওহ না, আমার মুখে আরেকটি পিম্পল।",পিম্পলস স্তন্যপান।
3649,পিম্পলস স্তন্যপান।,দেখে মনে হচ্ছে আমি প্রায় প্রতিদিন একটি নতুন পিম্পল পাই।
3650,দেখে মনে হচ্ছে আমি প্রায় প্রতিদিন একটি নতুন পিম্পল পাই।,এটি আপনার ডায়েটে কিছু হতে পারে।
3651,এটি আপনার ডায়েটে কিছু হতে পারে।,"না, আমি দিনের পর দিন একই জিনিস খাই।"
3652,"না, আমি দিনের পর দিন একই জিনিস খাই।",তাহলে সম্ভবত এটি আপনার জিনে রয়েছে।
3653,তাহলে সম্ভবত এটি আপনার জিনে রয়েছে।,আপনি সঠিক হতে পারে।
3654,আপনি সঠিক হতে পারে।,পিম্পলগুলি কি আপনার পরিবারে চলে?
3655,পিম্পলগুলি কি আপনার পরিবারে চলে?,আমি লক্ষ্য করেছি না।
3656,আমি লক্ষ্য করেছি না।,"ঠিক আছে, সম্ভবত এটি বাতাসে দূষণ থেকে এসেছে।"
3657,"ঠিক আছে, সম্ভবত এটি বাতাসে দূষণ থেকে এসেছে।","কারণ যাই হোক না কেন, আমি তাদের আমার মুখে দেখে ঘৃণা করি।"
3658,"কারণ যাই হোক না কেন, আমি তাদের আমার মুখে দেখে ঘৃণা করি।","ঠিক আছে, উজ্জ্বল দিকে, তারা পপ করতে মজাদার।"
3659,আপনি যা শুনেছেন তা কি আপনি বিশ্বাস করেন?,আমি নিজের চোখ দিয়ে দেখি না এমন কিছু আমি বিশ্বাস করি না।
3660,আমি নিজের চোখ দিয়ে দেখি না এমন কিছু আমি বিশ্বাস করি না।,আপনি টিভি বা রেডিওতে যা শুনেছেন তা আপনি বিশ্বাস করতে পারবেন না।
3661,আপনি টিভি বা রেডিওতে যা শুনেছেন তা আপনি বিশ্বাস করতে পারবেন না।,সংবাদপত্রগুলিতে আপনি যা পড়েছেন তা আপনি বিশ্বাস করতে পারবেন না।
3662,সংবাদপত্রগুলিতে আপনি যা পড়েছেন তা আপনি বিশ্বাস করতে পারবেন না।,প্রত্যেকে আপনাকে একই জিনিস সম্পর্কে একটি আলাদা গল্প বলে।
3663,প্রত্যেকে আপনাকে একই জিনিস সম্পর্কে একটি আলাদা গল্প বলে।,তিনটি পৃথক লোক আপনাকে তিনটি ভিন্ন গল্প দেবে।
3664,তিনটি পৃথক লোক আপনাকে তিনটি ভিন্ন গল্প দেবে।,এবং সরকার আপনাকে একটি চতুর্থ গল্প দেবে।
3665,এবং সরকার আপনাকে একটি চতুর্থ গল্প দেবে।,"হ্যাঁ, সরকার যেমন সোয়াইন ফ্লু নিয়ে চিন্তা করবেন না বলে।"
3666,"হ্যাঁ, সরকার যেমন সোয়াইন ফ্লু নিয়ে চিন্তা করবেন না বলে।",তবে সোয়াইন ফ্লু মেক্সিকোতে সবেমাত্র ২০ জনকে হত্যা করেছিল।
3667,তবে সোয়াইন ফ্লু মেক্সিকোতে সবেমাত্র ২০ জনকে হত্যা করেছিল।,সরকার বলেছে যে আমাদের চিন্তার কিছু নেই।
3668,সরকার বলেছে যে আমাদের চিন্তার কিছু নেই।,তাহলে কিছু স্কুল কেন বাচ্চাদের বাড়িতে থাকতে বলছে?
3669,তাহলে কিছু স্কুল কেন বাচ্চাদের বাড়িতে থাকতে বলছে?,"সরকার ঘন ঘন আমাদের হাত ধুয়ে ফেলতে বলে, এবং আমরা সবাই ঠিক থাকব।"
3670,আপনার নাক বাছাই করবেন না।,আমি নাক তুলছিলাম না।
3671,আমি নাক তুলছিলাম না।,তুমি কি করছিলে?
3672,তুমি কি করছিলে?,আমি আমার নাক আঁচড়ে যাচ্ছিলাম।
3673,আমি আমার নাক আঁচড়ে যাচ্ছিলাম।,আমি মনে করি আমি বাছাই এবং স্ক্র্যাচিংয়ের মধ্যে পার্থক্য জানি।
3674,আমি মনে করি আমি বাছাই এবং স্ক্র্যাচিংয়ের মধ্যে পার্থক্য জানি।,"ঠিক আছে, মা, সম্ভবত আমি এটি কিছুটা বাছাই করছিলাম।"
